station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FAGG,2026-06-24 11:00,59.00,53.60,82.26,160.00,5.00,0.00,30.24,M,6.21,M,SCT,BKN,M,M,1000.00,3000.00,M,M,M,M,M,M,M,M,M,59.00,FAGG 241100Z 16005KT 130V190 9999 SCT010 BKN030 15/12 Q1024,M
FAGG,2026-06-24 12:00,57.20,53.60,87.75,160.00,6.00,0.00,30.21,M,6.21,M,FEW,SCT,BKN,M,1000.00,3200.00,3800.00,M,M,M,M,M,M,M,M,57.20,FAGG 241200Z 16006KT 9999 FEW010 SCT032 BKN038 14/12 Q1023,M
FAGG,2026-06-24 13:00,59.00,53.60,82.26,120.00,5.00,0.00,30.21,M,6.21,M,FEW,BKN,M,M,1100.00,3600.00,M,M,M,M,M,M,M,M,M,59.00,FAGG 241300Z 12005KT 090V160 9999 FEW011 BKN036 15/12 Q1023,M
FAGG,2026-06-24 14:00,59.00,53.60,82.26,130.00,6.00,0.00,30.21,M,6.21,M,FEW,BKN,M,M,1800.00,4000.00,M,M,M,M,M,M,M,M,M,59.00,FAGG 241400Z 13006KT 9999 FEW018 BKN040 15/12 Q1023,M
FAGG,2026-06-24 15:00,57.20,51.80,82.13,90.00,7.00,0.00,30.21,M,6.21,M,FEW,BKN,M,M,3000.00,3700.00,M,M,M,M,M,M,M,M,M,57.20,FAGG 241500Z 09007KT 9999 FEW030 BKN037 14/11 Q1023,M
FAGG,2026-06-24 16:00,57.20,53.60,87.75,100.00,5.00,0.00,30.21,M,6.21,M,FEW,BKN,M,M,3000.00,3700.00,M,M,M,M,M,M,M,M,M,57.20,FAGG 241600Z 10005KT 9999 FEW030 BKN037 14/12 Q1023,M
FAGG,2026-06-24 17:00,57.20,53.60,87.75,90.00,7.00,0.00,30.24,M,4.97,M,FEW,BKN,M,M,3000.00,3800.00,M,M,M,M,M,M,M,M,M,57.20,FAGG 241700Z 09007KT 8000 FEW030 BKN038 14/12 Q1024,M
FAGG,2026-06-24 18:00,55.40,53.60,93.65,100.00,6.00,0.00,30.24,M,6.21,M,FEW,BKN,M,M,3000.00,3800.00,M,M,M,M,M,M,M,M,M,55.40,FAGG 241800Z 10006KT 9999 FEW030 BKN038 13/12 Q1024,M
FAGG,2026-06-24 18:21,55.40,53.60,93.65,100.00,7.00,0.00,30.24,M,4.97,M,FEW,M,M,M,3700.00,M,M,M,M,M,M,M,M,M,M,55.40,FAGG 241821Z AUTO 10007KT 8000 FEW037/// 13/12 Q1024,M
FAGG,2026-06-24 18:32,55.40,53.60,93.65,100.00,6.00,0.00,30.24,M,5.59,M,FEW,M,M,M,3700.00,M,M,M,M,M,M,M,M,M,M,55.40,FAGG 241832Z AUTO 10006KT 9000 FEW037/// 13/12 Q1024,M
FAGG,2026-06-24 18:42,53.60,53.60,100.00,100.00,7.00,0.00,30.24,M,5.59,M,FEW,M,M,M,3700.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241842Z AUTO 10007KT 9000 FEW037/// 12/12 Q1024,M
FAGG,2026-06-24 18:47,53.60,53.60,100.00,100.00,7.00,0.00,30.24,M,5.59,M,FEW,M,M,M,3700.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241847Z AUTO 10007KT 9000 FEW037/// 12/12 Q1024,M
FAGG,2026-06-24 18:48,53.60,53.60,100.00,90.00,6.00,0.00,30.24,M,5.59,M,FEW,M,M,M,3600.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241848Z AUTO 09006KT 9000 FEW036/// 12/12 Q1024,M
FAGG,2026-06-24 18:50,53.60,53.60,100.00,90.00,7.00,0.00,30.24,M,5.59,M,FEW,M,M,M,3600.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241850Z AUTO 09007KT 9000 FEW036/// 12/12 Q1024,M
FAGG,2026-06-24 19:00,53.60,53.60,100.00,90.00,7.00,0.00,30.24,M,5.59,M,FEW,M,M,M,3600.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241900Z AUTO 09007KT 9000 FEW036/// 12/12 Q1024,M
FAGG,2026-06-24 19:03,53.60,53.60,100.00,90.00,6.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241903Z AUTO 09006KT CAVOK 12/12 Q1024,M
FAGG,2026-06-24 19:10,53.60,51.80,93.60,110.00,6.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241910Z AUTO 11006KT CAVOK 12/11 Q1024,M
FAGG,2026-06-24 19:23,53.60,51.80,93.60,110.00,5.00,0.00,30.24,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241923Z AUTO 11005KT CAVOK 12/11 Q1024,M
FAGG,2026-06-24 19:39,53.60,51.80,93.60,110.00,6.00,0.00,30.24,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241939Z AUTO 11006KT 9999 FEW016/// 12/11 Q1024,M
FAGG,2026-06-24 19:52,53.60,51.80,93.60,100.00,6.00,0.00,30.24,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 241952Z AUTO 10006KT 9999 FEW015/// 12/11 Q1024,M
FAGG,2026-06-24 20:00,53.60,51.80,93.60,100.00,6.00,0.00,30.24,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 242000Z AUTO 10006KT 9999 FEW015/// 12/11 Q1024,M
FAGG,2026-06-24 20:01,53.60,51.80,93.60,90.00,7.00,0.00,30.24,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 242001Z AUTO 09007KT 9999 FEW016/// 12/11 Q1024,M
FAGG,2026-06-24 20:42,53.60,51.80,93.60,90.00,6.00,0.00,30.24,M,6.21,M,FEW,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 242042Z AUTO 09006KT 9999 FEW013/// 12/11 Q1024,M
FAGG,2026-06-24 21:00,53.60,51.80,93.60,100.00,6.00,0.00,30.21,M,6.21,M,FEW,M,M,M,1600.00,M,M,M,M,M,M,M,M,M,M,53.60,FAGG 242100Z AUTO 10006KT 9999 FEW016/// 12/11 Q1023,M
